Raw.file,Condition,BioReplicate,Experiment,IsotopeLabelType
UK234,BPH_b,1,BPH_batch2,L
UK263,Pca-H,2,Pca-HR_batch2,L
UK233,BPH_b,3,BPH_batch2,L
UK208,Pca-H,4,Pca-HR_batch1,L
UK229,BPH_b,5,BPH_batch2,L
UK232,BPH_b,6,BPH_batch2,L
UK188,BPH_b,7,BPH_batch1,L
UK242,Pca_L,8,Pca_LR_batch2,L
UK209,Pca-H,9,Pca-HR_batch1,L
UK230,BPH_b,10,BPH_batch2,L
UK255,BPH_b,11,BPH_batch3,L
UK235,BPH_b,12,BPH_batch2,L
UK251,BPH_b,13,BPH_batch3,L
UK248,BPH_b,14,BPH_batch3,L
UK245,Pca_L,15,Pca_LR_batch2,L
UK266,Pca-H,16,Pca-HR_batch2,L
UK246,Pca_L,17,Pca_LR_batch2,L
UK254,BPH_b,18,BPH_batch3,L
UK193,Pca_L,19,Pca_LR_batch1,L
UK199,Pca_L,20,Pca_LR_batch1,L
UK183,BPH_b,21,BPH_batch1,L
UK195,Pca_L,22,Pca_LR_batch1,L
UK196,Pca_L,23,Pca_LR_batch1,L
UK200,Pca-H,24,Pca-HR_batch1,L
UK262,Pca-H,25,Pca-HR_batch2,L
UK231,BPH_b,26,BPH_batch2,L
UK237,Pca_L,27,Pca_LR_batch2,L
UK260,Pca-H,28,Pca-HR_batch2,L
UK203,Pca-H,29,Pca-HR_batch1,L
UK187,BPH_b,30,BPH_batch1,L
UK264,Pca-H,31,Pca-HR_batch2,L
UK238,Pca_L,32,Pca_LR_batch2,L
UK261,Pca-H,33,Pca-HR_batch2,L
UK194,Pca_L,34,Pca_LR_batch1,L
UK241,Pca_L,35,Pca_LR_batch2,L
UK236,BPH_b,36,BPH_batch2,L
UK201,Pca-H,37,Pca-HR_batch1,L
UK243,Pca_L,38,Pca_LR_batch2,L
UK249,BPH_b,39,BPH_batch3,L
UK184,BPH_b,40,BPH_batch1,L
UK244,Pca_L,41,Pca_LR_batch2,L
UK256,BPH_b,42,BPH_batch3,L
UK252,BPH_b,43,BPH_batch3,L
UK267,Pca-H,44,Pca-HR_batch2,L
UK265,Pca-H,45,Pca-HR_batch2,L
UK240,Pca_L,46,Pca_LR_batch2,L
UK205,Pca-H,47,Pca-HR_batch1,L
UK250,BPH_b,48,BPH_batch3,L
UK204,Pca-H,49,Pca-HR_batch1,L
UK207,Pca-H,50,Pca-HR_batch1,L
UK198,Pca_L,51,Pca_LR_batch1,L
UK185,BPH_b,52,BPH_batch1,L
UK227,BPH_b,53,BPH_batch2,L
UK257,BPH_b,54,BPH_batch3,L
UK228,BPH_b,55,BPH_batch2,L
UK190,Pca_L,56,Pca_LR_batch1,L
UK186,BPH_b,57,BPH_batch1,L
UK189,BPH_b,58,BPH_batch1,L
UK191,Pca_L,59,Pca_LR_batch1,L
UK259,Pca-H,60,Pca-HR_batch2,L
UK197,Pca_L,61,Pca_LR_batch1,L
UK182,BPH_b,62,BPH_batch1,L
UK202,Pca-H,63,Pca-HR_batch1,L
UK181,BPH_b,64,BPH_batch1,L
UK206,Pca-H,65,Pca-HR_batch1,L
UK192,Pca_L,66,Pca_LR_batch1,L